jqcy,#genre#
CCTV-13新闻,http://192.151.150.154/live/cctv13hd.m3u8
CCTV-14少儿,http://192.151.150.154/live/cctv14hd.m3u8
CCTV-15音乐,http://192.151.150.154/live/cctv15hd.m3u8
CCTV-16奥林匹克,http://192.151.150.154/live/cctv16hd.m3u8
CCTV-17农业农村,http://192.151.150.154/live/cctv17hd.m3u8
CETV1综合教育,http://192.151.150.154/live/cetv1hd.m3u8
CETV2空中课堂,http://192.151.150.154/live/cetv2.m3u8
CETV3,http://192.151.150.154/live/cetv3.m3u8
CETV4职业教育,http://192.151.150.154/live/cetv4.m3u8
发现之旅,http://192.151.150.154/live/fxzl.m3u8
老故事,http://192.151.150.154/live/lgs.m3u8
中学生,http://192.151.150.154/live/lgs.m3u8
第一剧场,http://192.151.150.154/live/dyjc.m3u8
怀旧剧场,http://192.151.150.154/live/hjjc.m3u8
风云剧场,http://192.151.150.154/live/fyjc.m3u8
高尔夫网球,http://192.151.150.154/live/gefwq.m3u8
兵器科技,http://192.151.150.154/live/gfjs.m3u8
卫生健康,http://192.151.150.154/live/wsjk.m3u8
风云音乐,http://192.151.150.154/live/fyyy.m3u8
央视台球,http://192.151.150.154/live/ystq.m3u8
世界地理,http://192.151.150.154/live/sjdl.m3u8
风云足球,http://192.151.150.154/live/fyzq.m3u8
女性时尚,http://192.151.150.154/live/nxss.m3u8
央视文化精品,http://192.151.150.154/live/ysjp.m3u8
电视指南,http://192.151.150.154/live/dszn.m3u8
北京卫视,http://192.151.150.154/live/bjwshd.m3u8
湖南卫视,http://192.151.150.154/live/hnwshd.m3u8
东方卫视,http://192.151.150.154/live/dfwshd.m3u8
浙江卫视,http://192.151.150.154/live/zjwshd.m3u8
江苏卫视,http://192.151.150.154/live/jswshd.m3u8
天津卫视,http://192.151.150.154/live/tjwshd.m3u8
安徽卫视,http://192.151.150.154/live/ahwshd.m3u8
江西卫视,http://192.151.150.154/live/jxwshd.m3u8
深圳卫视,http://192.151.150.154/live/szwshd.m3u8
广东卫视,http://192.151.150.154/live/gdwshd.m3u8
广西卫视,http://192.151.150.154/live/gxwshd.m3u8
河南卫视,http://192.151.150.154/live/hawshd.m3u8
河北卫视,http://192.151.150.154/live/hbwshd.m3u8
吉林卫视,http://192.151.150.154/live/jlwshd.m3u8
辽宁卫视,http://192.151.150.154/live/lnwshd.m3u8
黑龙江卫视,http://192.151.150.154/live/hljwshd.m3u8
四川卫视,http://192.151.150.154/live/scwshd.m3u8
重庆卫视,http://192.151.150.154/live/cqwshd.m3u8
东南卫视,http://192.151.150.154/live/dnwshd.m3u8
云南卫视,http://192.151.150.154/live/ynwshd.m3u8
贵州卫视,http://192.151.150.154/live/gzwshd.m3u8
陕西卫视,http://192.151.150.154/live/snwshd.m3u8
天津卫视,http://192.151.150.154/live/tjwshd.m3u8
山东卫视,http://192.151.150.154/live/sdwshd.m3u8
山西卫视,http://192.151.150.154/live/sxwshd.m3u8
陕西卫视,http://192.151.150.154/live/snwshd.m3u8
湖北卫视,http://192.151.150.154/live/hbwshd.m3u8
广西卫视,http://192.151.150.154/live/gxwshd.m3u8
重庆卫视,http://192.151.150.154/live/cqwshd.m3u8
内蒙古卫视,http://192.151.150.154/live/nmgws.m3u8
青海卫视,http://192.151.150.154/live/qhws.m3u8
宁夏卫视,http://192.151.150.154/live/nxws.m3u8
新疆卫视,http://192.151.150.154/live/xjws.m3u8
西藏卫视,http://192.151.150.154/live/xzws.m3u8
三沙卫视,http://192.151.150.154/live/ssws.m3u8
兵团卫视,http://192.151.150.154/live/btws.m3u8
大湾区卫视,http://192.151.150.154/live/nfws.m3u8
厦门卫视,http://192.151.150.154/live/xmws.m3u8
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
CHC影迷电影,http://192.151.150.154/live/chchd.m3u8
重温经典,http://192.151.150.154/live/cwjd.m3u8
周润发电影,http://192.151.150.154/live/lbzrf.m3u8
周星驰电影,http://192.151.150.154/live/lbzxc.m3u8
成龙电影,http://192.151.150.154/live/lbcl.m3u8
林正英影院,http://192.151.150.154/live/lblzy.m3u8
广西影视,http://192.151.150.154/live/gxys.m3u8
广东体育,http://192.151.150.154/live/gdty.m3u8
五星体育,http://192.151.150.154/live/wxtyhd.m3u8
